hallo verden !	¡ hola mundo !
ja eller nei ?	¿ sí o no ?
det gjer vondt i heile kroppen .	me duele todo el cuerpo .
ho står alltid opp seks .	ella siempre se levanta a las seis .
eg har ein ven til i kina .	tengo otro amigo en china .
eg veit ikkje korleis eg skal tolke orda hans .	no sé cómo interpretar sus palabras .
psykologar seier at optimisme , humor og kreativitet er dei beste verktøya for å møta psykologisk motgang forårsaka av den noverande økonomiske krisa .	psicólogos aseguran que optimismo , humor y creatividad son las mejores herramientas para afrontar psicológicamente las adversidades derivadas de la actual crisis económica .
tom si mor er ein veldig god kokk .	la madre de tom es una muy buena cocinera .
du eller meg ?	¿ tú o yo ?
eg er klar om ti minuttar .	estaré listo en diez minutos .
tom drog til boston for å gå på ein konferanse .	tom viajó hasta boston para asistir a un congreso .
eg ser løva .	vi la leona .
denne stolen er laga av plastikk .	esta silla está hecha de plástico .
kva skreiv eg no ?	¿ qué acabo de escribir ?
sjølv den varsamste tek somme tider gale .	a veces , hasta los más cuidadosos se equivocan .
ho drikk ei flaske mjølk kvar morgon .	ella se bebe una botella de leche cada mañana .
toget var så fullt at vi måtte stå heile vegen til osaka .	el tren estaba tan lleno que tuvimos que ir de pie todo el trayecto hasta osaka .
vi hadde det kjempemorosamt .	lo pasamos muy bien .
broren din var ikkje på skulen i dag .	tu hermano no ha estado hoy en la escuela .
eg heiter ichiro tanaka .	me llamo ichiro tanaka .
far har kjøpt meg ein ny sykkel .	mi padre me ha comprado una nueva bici .
han gjekk kleint ned gata .	caminaba por la calle de forma extraña .
tom vert universitetsstudent i år .	tom será universitario este año .
me ønskjer deg eit hyggjeleg opphald !	te deseamos una buena estancia .
eg var i dyreparken i går .	estuve ayer en el zoológico .
tom er her om nokre få augeblikk .	tom llegará en cualquier momento .
dei må ha mislukkast på grunn av manglande entusiasme .	deben de haber fracasado por falta de entusiasmo .
ho var endå svak etter sjukdomen .	ella seguía débil tras su enfermedad .
jeg elsker denne restauranten .	adoro este restaurante .
eg er svolten .	tengo hambre .
bob er venen min .	bob es mi amigo .
lukk att døra .	cierra la puerta .
lukk igjen døra .	cierra la puerta .
lukk døra .	cierra la puerta .
eg keiar meg .	estoy aburrido .
eg keiar meg .	me aburro .
eg har vondt her .	me duele aquí .
det gjer vondt her .	me duele aquí .
kva treng du ?	¿ qué necesitas ?
han et .	está comiendo .
søv han ?	¿ está durmiendo ?
eg tenkjer på deg heile tida .	pienso en ti todo el tiempo .
neste gong gjer eg det sjølv .	la próxima vez lo haré yo mismo .
kvar er utgangen ?	¿ dónde está la salida ?
eg har vondt i augo .	me duelen los ojos .
eg trudde ikkje på han i byrjinga .	al principio no le creí .
symmetri er keisamt .	la simetría es aburrida .
arabisk skrivast frå høgre mot venstre .	el árabe se escribe de derecha a izquierda .
det er enklare enn eg trudde .	es más fácil de lo que pensaba .
noko må gjerast !	¡ hay que hacer algo !
eg er heime .	estoy en casa .
kva treng eg ?	¿ qué necesito ?
sa du noko ?	¿ dijiste algo ?
det kjem ikkje til å gjera vondt .	no dolerá .
kven skal du gjeva boka til ?	¿ a quién le darás el libro ?
han et .	él come .
det må ha gjort vondt !	¡ eso debe haber dolido !
eg har vondt i føtene .	me duelen los pies .
eg treng kaffi .	necesito café .
eg forstod ingenting av det han sa .	no he entendido nada de lo que ha dicho .
bli hos meg .	quedate conmigo .
vent til i morgon .	espera hasta mañana .
noko må gjerast !	hay que hacer algo .
et noko !	come algo .
eg leitar etter noko .	estoy buscando algo .
barna leiker bakanfor huset .	los niños juegan detrás de la casa .
eg er keisam .	soy aburrido .
eg er keisam .	soy aburrida .
kan du skriva ?	¿ sabes escribir ?
høyrer du noko ?	¿ oyes algo ?
eg har lese nokon av desse bøkene .	he leído algunos de estos libros .
eg likar språk .	me encantan los idiomas .
han drakk ein kopp kaffi .	él bebió una taza de café .
eg trudde tom hadde hund .	creía que tom tenía un perro .
velkomen til wikipedia .	bienvenidos a wikipedia .
eg heiter ikkje du ; eg heiter ricardo .	mi nombre no es usted ; es ricardo .
vatn er ei væske	el agua es un líquido .
eg bur ikkje i finland .	no vivo en finlandia .
takk !	¡ gracias !
eg er gregor .	soy gregor .
det ligg ein park bak kinoen .	hay un parque detrás del cine .
han har nervar av stål .	él tiene nervios de acero .
eit måltid utan vin er som ein dag utan sol .	una comida sin vino es como un día sin sol .
eg kjøpte han førre veke .	lo compré la semana pasada .
eg skal til chicago neste veke .	la semana próxima voy a chicago .
slottet ligg på andre sida av elva .	el castillo está al otro lado del río .
eg jobbar ikkje på måndagar .	no trabajo los lunes .
eg er i dåleg humør .	estoy de mal humor .
det er yndlingslåta mi .	es mi canción favorita .
det er livretten min .	es mi plato favorito .
kven var det som sløkte lyset ?	¿ quién apagó la luz ?
eg tende lyset .	encendí la luz .
korleis skrivast det ?	¿ cómo se escribe ?
korleis stavast det ?	¿ cómo se escribe ?
skjorta er rein og turr .	la camisa está limpia y seca .
har du lese «romeo og julie» ?	¿ has leído romeo y julieta ?
kven sin tur er det til å dekkje på bordet ?	¿ a quién le toca poner la mesa ?
drikker du kaffe ?	¿ tomás café ?
drikk noko .	bebe algo .
drikk noko .	toma algo .
drikk noko .	beban algo .
bob er venen min .	bob es mi cuate .
kva kan eg gjere ?	¿ qué puedo hacer ?
før hata han meg .	antes me odiaba .
ingen bur her .	nadie vive aquí .
ho veit kor dei er .	ella sabe dónde están .
eg har ikkje lyst å eta .	no quiero comer .
skal vi sjå …	a ver . . .
han ringde på døra .	él tocó el timbre .
han ringde på dørklokka .	él tocó el timbre .
ho såg seg rundt .	ella miró alrededor .
det regnar .	llueve .
fylg meg .	sígueme .
velkomne !	¡ bienvenidos !
hæ ?	¿ qué ?
hald kjeft !	¡ cállate !
haldt kjeft !	¡ cállate !
tei still !	¡ cállate !
vent på meg .	¡ espérame !
lat oss setja i gang !	¡ empecemos !
lat oss begynna !	¡ empecemos !
lat oss starta !	¡ empecemos !
lat oss byrja !	¡ empecemos !
skal vi setja i gang ?	¿ empezamos ?
begynner vi ?	¿ empezamos ?
set vi i gang ?	¿ empezamos ?
byrjar vi ?	¿ empezamos ?
skal vi starta ?	¿ empezamos ?
hjelp meg .	ayúdame .
eg spring .	corro .
eg lauper .	corro .
ro deg ned .	cálmate .
eg kjem .	voy .
ro deg ned !	¡ cálmate !
ho hata flaggermyser .	ella odiaba los murciélagos .
farvel !	¡ adiós !
ha det !	¡ adiós !
ha det , sayoko !	¡ adiós , sayoko !
ha det !	¡ chau !
vi sest .	nos vemos .
eg likar svart farge .	me gusta el color negro .
så varmt det er !	¡ qué calor que hace !
la meg sova litt til .	déjame dormir un poquito más .
eg er ein katt .	soy un gato .
eg er meksikansk .	soy mexicano .
kor er biblioteket ?	¿ dónde está la biblioteca ?
dette er ein song .	esto es una canción .
kor mykje kostar det ?	¿ cuánto cuesta ?
kor mykje kostar han ?	¿ cuánto cuesta ?
kor mykje kostar ho ?	¿ cuánto cuesta ?
ho lærte meg å symja .	ella me enseñó a nadar .
ho er feminist .	ella es feminista .
dei sumde .	ellas nadaban .
eg likar spegelen din .	me gusta tu espejo .
eg snakkar ungarsk .	hablo húngaro .
kor er han ?	¿ dónde está él ?
nei , det er ikkje sant .	no , eso no es verdad .
ho går i parken .	ella va al parque .
er du heime ?	¿ estás en casa ?
veit dei kor gamal eg er ?	¿ saben cuántos años tengo ?
kva farge har fuglane ?	¿ de qué color son los pájaros ?
kva farge har epla ?	¿ de qué color son las manzanas ?
han vart fødd i kina , men bur i angola .	él nació en china pero vive en angola .
me lever på jorda .	nosotros vivimos en la tierra .
desse pærene er veldig gode .	estas peras son muy buenas .
eg veit det .	lo sé .
det er mange raude blomar i hagen .	hay muchas flores rojas en el jardín .
